BveTs Sound List 2.00

#列车通过注意
passing,Sounds/pass.wav

#发车音乐
Dep1,Sounds/Departsound.wav,1
Dep2,Sounds/Departsound_2.wav,1
Dep3,Sounds/Departsound_3.wav,1
Dep4,Sounds/Dep_Music+Text_0.wav
Dep5,Sounds/Dep_Music+Text_1.wav
Dep6,Sounds/Dep_Music+Text_2.wav
Dep7,Sounds/Dep_Music+Text_3.wav
Dep9,Sounds/Dep_Music+Text_4.wav
Dep10,Sounds/Dep_Music+Text_5.wav
Dep11,Sounds/Dep_Music+Text_6.wav
Dep12,Sounds/Dep_Music+Text_7.wav
Dep13,Sounds/Dep_Music+Text_8.wav

#车门和屏蔽门相关
doorclosing,Sounds/DoorClosing.wav
dooropening,Sounds/DoorOpening.wav
door-left,Sounds/Dooropen_left.wav
door-right,Sounds/Dooropen_right.wav

#车站及车内广播
at_station,Sounds/Station_Broadcast.wav
LFJtoXYZ1,Sounds/LFJ_to_XYZ_1.wav
LFJtoXYZ2,Sounds/LFJ_to_XYZ_2.wav
XYZtoXJB1,Sounds/XYZ_to_XJB_1.wav
XYZtoXJB2,Sounds/XYZ_to_XJB_2.wav
XJBtoFT1,Sounds/XJB_to_FT_1.wav
XJBtoFT2,Sounds/XJB_to_FT_2.wav
